"stock_symbol","stock_market_cap_final","stock_market"
"KW","$2070M","NYSE"
"SMFG","$54220M","NYSE"
"ABIL","$31.94M","NASDAQ"
"RLI","$2500M","NYSE"
"MSBF","$99.4M","NASDAQ"
"KEY","$20320M","NYSE"
"CIB","$11020M","NYSE"
"ALL","$32740M","NYSE"
"FRBK","$555.38M","NASDAQ"
"KB","$19260M","NYSE"
"WFC","$269310M","NYSE"
"TCF","$2720M","NYSE"
"CZNC","$287.82M","NASDAQ"
"MLP","$386.9M","NYSE"
"WSBC","$1750M","NASDAQ"
"AEG","$10510M","NYSE"
"FDEF","$547.07M","NASDAQ"
"CNOB","$744.13M","NASDAQ"
"HLNE","$956.82M","NASDAQ"
"MSBI","$655.78M","NASDAQ"
"LION","$610.37M","NASDAQ"
"YRD","$1410M","NYSE"
"STL","$3180M","NYSE"
"CB","$70810M","NYSE"
"KINS","$166.26M","NASDAQ"
"IBKR","$14980M","NASDAQ"
"STBZ","$1040M","NASDAQ"
"WABC","$1490M","NASDAQ"
"ARL","$137.3M","NYSE"
"NYCB","$6500M","NYSE"
"VIRT","$2380M","NASDAQ"
"SAFT","$1060M","NASDAQ"
"TRMK","$2240M","NASDAQ"
"BOKF","$5540M","NASDAQ"
"SIFI","$189.23M","NASDAQ"
"AFH","$188.28M","NASDAQ"
"FLIC","$665.88M","NASDAQ"
"SVBI","$86.11M","NASDAQ"
"UGLD","$97.38M","NASDAQ"
"HTBI","$462.31M","NASDAQ"
"HNNA","$120.43M","NASDAQ"
"JSYN","$52.88M","NASDAQ"
"FUNC","$106.49M","NASDAQ"
"WAL","$5200M","NYSE"
"HTLF","$1250M","NASDAQ"
"VAC","$3280M","NYSE"
"KMPR","$2050M","NYSE"
"BBVA","$53980M","NYSE"
"ELVT","$349.39M","NYSE"
"FUSB","$70.79M","NASDAQ"
"GWGH","$60.75M","NASDAQ"
"CIZN","$122.36M","NASDAQ"
"RY","$103480M","NYSE"
"OPY","$219.09M","NYSE"
"SCHW","$56050M","NYSE"
"CO","$666.52M","NYSE"
"BLMT","$292.59M","NASDAQ"
"WAYN","$47.65M","NASDAQ"
"BRO","$6220M","NYSE"
"OXBR","$34.73M","NASDAQ"
"CSFL","$1390M","NASDAQ"
"SYF","$23790M","NYSE"
"LPLA","$3740M","NASDAQ"
"SFE","$228.02M","NYSE"
"CMA","$13110M","NYSE"
"CNO","$3530M","NYSE"
"SNFCA","$101.28M","NASDAQ"
"WTM","$4000M","NYSE"
"GSHT","$400.4M","NASDAQ"
"HBANO","$21830M","NASDAQ"
"VLY","$3110M","NYSE"
"WSFS","$1450M","NASDAQ"
"BUSE","$1150M","NASDAQ"
"STT","$33200M","NYSE"
"STBA","$1240M","NASDAQ"
"FRPH","$457.29M","NASDAQ"
"DB","$34760M","NYSE"
"ORIT","$791.4M","NASDAQ"
"TCFC","$181.04M","NASDAQ"
"IX","$20830M","NYSE"
"AI","$352.64M","NYSE"
"FBIZ","$208.63M","NASDAQ"
"CNFR","$51.52M","NASDAQ"
"TD","$91250M","NYSE"
"PACW","$5870M","NASDAQ"
"INBK","$177.71M","NASDAQ"
"WMIH","$247.66M","NASDAQ"
"CPAA","$596.2M","NASDAQ"
"THFF","$587.96M","NASDAQ"
"JHG","$367.06M","NYSE"
"EVBS","$142.79M","NASDAQ"
"IPCC","$1050M","NASDAQ"
"HIIQ","$392.38M","NASDAQ"
"FHB","$4270M","NASDAQ"
"BSMX","$13140M","NYSE"
"NWFL","$171.78M","NASDAQ"
"MBFIP","$104.92M","NASDAQ"
"FBMS","$257.87M","NASDAQ"
"BLVD","$461.58M","NASDAQ"
"SFBS","$1960M","NASDAQ"
"GABC","$741.31M","NASDAQ"
"CFR","$6190M","NYSE"
"MFNC","$85.86M","NASDAQ"
"SC","$4150M","NYSE"
"HSBC","$176430M","NYSE"
"LCNB","$204.58M","NASDAQ"
"FNF","$14750M","NYSE"
"PMBC","$198.16M","NASDAQ"
"BMA","$5070M","NYSE"
"TRU","$7930M","NYSE"
