,CustomerID,PRODUCT_QUANTITY,DISTINCT_PRODUCT,TOTAL_REVENUE,VISITS,pkm$cluster
2,12748,24210,1769,30100.71,211,1
3,14911,77180,1794,127250.08,202,1
4,17841,22865,1331,38994.56,125,1
5,13089,30787,636,56675.07,98,1
6,14606,5978,832,11223.65,94,4
7,15311,37720,571,59364.14,92,1
8,12971,9203,95,10923.3,87,4
10,16029,32148,46,58114.71,64,5
11,13408,16119,236,27577.09,63,5
12,18102,64122,151,251594.32,61,1
13,13798,23514,115,36351.42,58,5
14,14156,57025,716,110627.11,56,1
15,14527,2049,331,7612.46,56,4
16,16422,32592,72,34220.79,52,5
17,13694,61803,369,62785.56,51,1
18,15061,28590,71,52994.18,49,5
19,15039,9191,408,19553.88,48,4
20,16013,13845,34,33131.46,48,5
21,17450,69029,127,189147.03,47,1
22,17949,27571,29,52623.99,46,5
23,14298,58021,884,50655.56,45,1
24,15189,6035,80,15458.32,42,4
25,17811,4128,359,7535.79,40,4
26,17961,560,211,1157.47,39,4
27,13199,6172,48,9695.27,39,4
28,17315,3856,259,6131.76,39,4
29,13767,7258,55,16706.79,38,4
30,13468,2581,184,5614.91,38,4
31,12921,9454,233,16369.1,38,4
32,17389,7430,48,30356.52,35,4
33,16839,8470,117,15318.3,35,4
34,17850,1693,24,4850.71,35,4
35,13263,4780,450,7397.16,35,3
36,16133,8738,221,13953.4,34,4
37,13777,12804,40,25745.59,34,4
38,12569,1793,92,3647.51,33,4
39,15078,5069,98,9602.03,33,4
40,14735,2160,99,5802.68,33,4
41,17511,63012,467,88013.48,32,1
42,17675,8278,240,20042.45,32,4
43,17757,3316,275,5574.45,31,4
44,17677,9725,179,16178.9,31,4
45,12682,5575,209,11677.33,31,4
46,15159,11394,363,18010.9,31,4
47,12471,7965,152,17010.33,31,4
48,17381,25646,40,20272.43,30,5
49,15005,4204,368,6142.57,29,3
50,12901,20915,32,16293.1,29,5
51,17428,9435,255,16895.39,29,4
52,16684,49390,120,65581.33,29,5
53,13018,5434,313,7237.64,29,4
54,13098,15911,163,28152.08,29,4
55,16168,1888,57,3759.56,28,4
56,15856,10941,297,16161.19,28,4
