,StockCode,TOTAL_REVENUE,BASKETS,DISTINCT_CUSTOMERS,AVERAGE_PRICE,pkm$cluster,,,Cluster,Items,Total Revenue,BASKETS,DISTINCT_CUSTOMERS,AVERAGE_PRICE,,
1,22423,129809.63,1993,888,58.924026,6,,,1,20,131540.6,1295,811,2189.054056,109.4527028,SEASONAL ITEMS
2,85123A,99846.98,2271,859,41.952513,6,,,2,297,1081826.63,37090,22507,8460.769598,28.48743972,"second category items (because cluster 4 is more influential than this , in terms of items)"
3,47566,96093.38,1687,709,55.641795,6,,,3,406,2991263.44,165230,86900,7176.757702,17.67674311,highest revenue => more popular => needs to be in inventory always => fast run away from inventory.
4,85099B,92356.03,2093,637,42.777226,6,,,4,109,2570646.11,94865,40645,3005.174258,27.57040604,second highest revenue => 3rd popular items.
5,23084,66756.59,1011,451,62.564752,6,,,5,1160,1832697.31,165513,89774,13091.88122,11.2861045,second popular (according to the baskets) => 3rd highest revenue.
6,22086,63791.94,1161,616,52.720612,6,,,6,7,607614.28,11673,4840,353.835072,50.54786743,SEASONAL ITEMS
7,84879,58959.73,1457,680,39.254148,6,,,,,,,,,,
8,79321,52363.99,668,206,76.667628,4,,,,,,,,,,
9,22197,50987.47,1393,408,34.544356,4,,,,,,,,,,
10,23298,42206.42,1148,574,35.79849,4,,,,,,,,,,
11,22386,41619.66,1219,373,33.269113,4,,,,,,,,,,
12,23203,40991.38,1233,506,32.353102,4,,,,,,,,,,
13,21137,40596.96,377,141,105.446649,1,,,,,,,,,,
14,22720,37015.56,1390,641,25.061313,4,,,,,,,,,,
15,22960,36116.09,1134,575,29.386566,4,,,,,,,,,,
16,23284,35621.11,733,379,47.749477,4,,,,,,,,,,
17,82484,35278.71,686,286,50.542564,4,,,,,,,,,,
18,20725,35187.31,1566,533,21.468768,4,,,,,,,,,,
19,22114,32692.49,648,326,49.534076,4,,,,,,,,,,
20,22178,32554.33,1038,404,30.367845,4,,,,,,,,,,
21,85099F,32354.04,828,318,37.974225,4,,,,,,,,,,
22,22910,31941.89,821,471,37.578694,4,,,,,,,,,,
23,22469,31899.85,1204,574,25.746449,4,,,,,,,,,,
24,22112,30765.43,859,384,34.606783,4,,,,,,,,,,
25,23245,30474.85,874,473,33.160881,4,,,,,,,,,,
26,22727,30423.62,1052,392,27.482945,4,,,,,,,,,,
27,21931,30167.79,1185,335,24.849909,4,,,,,,,,,,
28,POST,29963.84,1131,380,23.856561,4,,,,,,,,,,
29,22470,29949.91,929,488,31.100633,4,,,,,,,,,,
30,23199,29166.4,979,345,28.906244,4,,,,,,,,,,
31,22355,29164.36,884,250,31.978465,4,,,,,,,,,,
32,23355,28141.09,783,475,34.613887,4,,,,,,,,,,
33,22411,28012.48,1176,376,23.304892,4,,,,,,,,,,
34,22457,27995.36,1250,591,21.871375,4,,,,,,,,,,
35,22699,27944.92,1067,428,24.556169,4,,,,,,,,,,
36,85099C,27581.32,934,307,28.730542,4,,,,,,,,,,
37,22726,27036.81,983,324,26.351667,4,,,,,,,,,,
38,23201,26814.15,907,397,28.832419,4,,,,,,,,,,
39,20685,26728.5,698,330,37.805516,4,,,,,,,,,,
40,21915,26247.83,663,351,38.770798,4,,,,,,,,,,
41,84347,26142.23,450,194,55.036274,4,,,,,,,,,,
42,22666,25819.55,1118,474,21.880975,4,,,,,,,,,,
43,22629,25647.77,901,323,27.757327,4,,,,,,,,,,
44,84946,25516.67,906,418,26.973224,4,,,,,,,,,,
45,22961,25235.23,1163,539,21.349602,4,,,,,,,,,,
46,21181,25120.88,853,362,28.481723,4,,,,,,,,,,
47,48138,24914.92,617,315,39.736715,4,,,,,,,,,,
48,22722,24365.66,837,394,27.942271,4,,,,,,,,,,
49,22326,24317.67,733,282,31.829411,4,,,,,,,,,,
50,48187,23947.54,601,316,39.387401,4,,,,,,,,,,
51,22138,23822.22,935,586,24.458131,4,,,,,,,,,,
52,23173,23655.02,417,249,54.006895,4,,,,,,,,,,
53,21731,23651.68,850,267,27.061419,4,,,,,,,,,,
54,22189,23431.87,525,275,43.716175,4,,,,,,,,,,
55,23344,23328.79,717,392,31.568051,4,,,,,,,,,,
56,21175,23298.74,811,344,28.206707,4,,,,,,,,,,
57,22111,23249,772,428,29.134085,4,,,,,,,,,,
58,21621,23139.26,480,268,46.74598,4,,,,,,,,,,
59,21733,23075.79,742,386,29.852251,4,,,,,,,,,,
60,23243,22875.82,471,276,44.942672,4,,,,,,,,,,
61,21623,22839,222,141,100.171053,1,,,,,,,,,,
62,15056N,22831.52,541,185,41.436515,4,,,,,,,,,,
63,21929,22794.07,866,309,25.756011,4,,,,,,,,,,
64,20713,22599.53,669,208,33.040249,4,,,,,,,,,,
65,22090,22594.56,800,326,27.825813,4,,,,,,,,,,
