StockCode,TOTAL_REVENUE,BASKETS,DISTINCT_CUSTOMERS,AVERAGE_PRICE
22423,129809.63,1993,888,58.924026
85123A,99846.98,2271,859,41.952513
47566,96093.38,1687,709,55.641795
85099B,92356.03,2093,637,42.777226
23084,66756.59,1011,451,62.564752
22086,63791.94,1161,616,52.720612
84879,58959.73,1457,680,39.254148
79321,52363.99,668,206,76.667628
22197,50987.47,1393,408,34.544356
23298,42206.42,1148,574,35.798490
22386,41619.66,1219,373,33.269113
23203,40991.38,1233,506,32.353102
21137,40596.96,377,141,105.446649
22720,37015.56,1390,641,25.061313
22960,36116.09,1134,575,29.386566
23284,35621.11,733,379,47.749477
82484,35278.71,686,286,50.542564
20725,35187.31,1566,533,21.468768
22114,32692.49,648,326,49.534076
22178,32554.33,1038,404,30.367845
85099F,32354.04,828,318,37.974225
22910,31941.89,821,471,37.578694
22469,31899.85,1204,574,25.746449
22112,30765.43,859,384,34.606783
23245,30474.85,874,473,33.160881
22727,30423.62,1052,392,27.482945
21931,30167.79,1185,335,24.849909
POST,29963.84,1131,380,23.856561
22470,29949.91,929,488,31.100633
23199,29166.40,979,345,28.906244
22355,29164.36,884,250,31.978465
23355,28141.09,783,475,34.613887
22411,28012.48,1176,376,23.304892
22457,27995.36,1250,591,21.871375
22699,27944.92,1067,428,24.556169
85099C,27581.32,934,307,28.730542
22726,27036.81,983,324,26.351667
23201,26814.15,907,397,28.832419
20685,26728.50,698,330,37.805516
21915,26247.83,663,351,38.770798
84347,26142.23,450,194,55.036274
22666,25819.55,1118,474,21.880975
22629,25647.77,901,323,27.757327
84946,25516.67,906,418,26.973224
22961,25235.23,1163,539,21.349602
21181,25120.88,853,362,28.481723
48138,24914.92,617,315,39.736715
22722,24365.66,837,394,27.942271
22326,24317.67,733,282,31.829411
48187,23947.54,601,316,39.387401
22138,23822.22,935,586,24.458131
23173,23655.02,417,249,54.006895
21731,23651.68,850,267,27.061419
22189,23431.87,525,275,43.716175
23344,23328.79,717,392,31.568051
21175,23298.74,811,344,28.206707
22111,23249.00,772,428,29.134085
21621,23139.26,480,268,46.745980
21733,23075.79,742,386,29.852251
23243,22875.82,471,276,44.942672
21623,22839.00,222,141,100.171053
15056N,22831.52,541,185,41.436515
21929,22794.07,866,309,25.756011
20713,22599.53,669,208,33.040249
22090,22594.56,800,326,27.825813
82482,22531.71,1101,412,19.957228
22139,22521.49,968,490,22.680252
22697,22433.25,1016,391,20.675806
22383,22318.64,1286,436,16.556855
84997D,22279.26,547,250,40.070612
20727,22219.01,1274,459,16.458526
84029E,21866.55,433,229,48.377323
20712,21665.96,864,249,24.676492
20724,21606.48,1035,336,20.230787
20728,21423.13,1151,482,17.897352
23202,21410.35,881,378,23.895480
23209,21384.37,1100,470,18.840855
48194,21345.48,594,287,35.635192
22630,21156.49,851,289,24.014177
21212,21059.72,1321,637,15.205574
82494L,20941.44,977,393,20.858008
23206,20814.83,1037,402,19.201873
21166,20796.54,725,288,27.877399
21928,20670.02,807,265,25.115456
21523,20633.99,503,204,40.778636
22728,20548.40,784,293,25.368395
22659,20272.70,708,215,27.030267
21479,19958.52,501,255,38.455723
84997B,18955.69,438,203,42.406465
22969,18602.75,647,430,28.401145
22467,18552.97,685,264,25.380260
48185,18472.03,367,144,49.655995
20726,18188.48,1019,374,17.142771
20914,18089.35,881,361,19.305603
15036,18064.16,520,195,34.473588
22382,17850.01,1158,492,14.974841
22693,17837.45,306,168,58.102443
22865,17651.98,657,376,25.619710
82486,17620.40,606,237,27.661538
21485,17478.69,624,373,26.685023
85066,17451.87,520,292,31.444811
22328,17438.87,582,229,28.541522
71477,17214.94,321,161,48.356573
22384,17198.99,1091,446,15.126640
22698,17164.26,768,322,20.679831
22077,17149.27,956,414,17.392769
82583,16913.60,618,207,25.980952
22385,16866.72,689,248,24.026667
84997C,16840.16,399,203,41.580642
23240,16830.82,537,324,29.683986
22492,16810.42,381,214,43.103641
21754,16727.72,778,361,20.753995
20719,16672.35,836,239,19.431643
22993,16422.23,1074,432,14.781485
21843,16392.39,541,263,28.021179
84978,16270.94,729,305,21.213742
23301,16188.15,914,406,17.276574
22835,16143.56,658,318,23.775493
84029G,16106.04,461,213,33.978987
15056B,15954.47,384,143,41.119768
85152,15848.11,680,271,23.035044
21232,15820.55,832,315,17.500608
22624,15642.18,716,377,21.109555
22379,15514.34,749,189,20.413605
23313,15290.16,402,255,36.843759
22084,15002.02,446,279,32.827177
22900,14423.33,534,195,25.573280
22866,14201.52,554,331,24.070373
22501,14041.48,456,188,29.623376
22507,14028.06,460,231,30.232888
21930,14024.92,706,221,19.479056
48184,14018.18,412,228,33.697548
22083,13994.34,611,296,22.607981
22867,13967.39,557,334,24.248941
23200,13953.65,597,263,22.912397
82483,13892.76,547,244,23.039403
23077,13645.77,345,218,39.211983
84077,13587.93,536,308,25.069982
22551,13567.46,674,340,19.465509
23343,13473.27,482,287,26.892754
23356,13377.27,477,317,26.647948
22554,13296.92,705,353,18.239945
22558,13279.46,773,365,16.766995
23328,13254.85,406,196,31.710167
22625,13131.45,554,294,22.718772
21524,12931.98,481,252,26.445767
23108,12923.67,373,272,32.884656
22752,12888.48,381,189,33.132339
82600,12761.98,548,222,22.953201
22622,12733.23,268,175,46.813346
22941,12718.26,312,216,38.192973
23207,12700.60,741,378,16.282821
22113,12694.13,562,340,21.334672
22499,12595.03,408,218,30.570461
20723,12489.69,723,233,16.832466
20750,12487.94,386,236,31.938465
22188,12483.22,190,124,65.357173
20749,12457.26,384,240,31.617411
21790,12443.71,927,450,13.181896
21755,12376.29,630,338,18.866296
22171,12294.17,386,174,30.281207
22427,12267.56,511,312,23.190095
21977,12189.47,870,412,13.604319
22607,12153.18,359,225,33.205410
47590B,12042.67,404,239,29.300900
23174,12005.53,323,193,35.103889
22502,11911.26,470,176,24.610041
22158,11873.13,305,202,36.645463
48188,11844.78,288,165,40.703711
21430,11784.42,478,189,23.855101
22087,11669.43,331,156,33.726676
23300,11584.09,759,352,14.851397
21936,11513.99,532,224,21.087894
21108,11477.86,263,161,42.510593
22568,11411.32,473,246,23.288408
23581,11388.27,339,231,32.079634
22193,11363.56,461,208,24.075339
21080,11304.91,987,428,11.137842
22730,11284.65,571,243,18.997727
22041,11260.81,362,74,30.517100
