StockCode,TOTAL_REVENUE,BASKETS,DISTINCT_CUSTOMERS,AVERAGE_PRICE,ITEM_POPULARITY
22423,129809.63,1993,888,58.924026,2.2444
85123A,99846.98,2271,859,41.952513,2.6438
47566,96093.38,1687,709,55.641795,2.3794
85099B,92356.03,2093,637,42.777226,3.2857
23084,66756.59,1011,451,62.564752,2.2417
22086,63791.94,1161,616,52.720612,1.8847
84879,58959.73,1457,680,39.254148,2.1426
79321,52363.99,668,206,76.667628,3.2427
22197,50987.47,1393,408,34.544356,3.4142
23298,42206.42,1148,574,35.798490,2.0000
22386,41619.66,1219,373,33.269113,3.2681
23203,40991.38,1233,506,32.353102,2.4368
21137,40596.96,377,141,105.446649,2.6738
22720,37015.56,1390,641,25.061313,2.1685
22960,36116.09,1134,575,29.386566,1.9722
23284,35621.11,733,379,47.749477,1.9340
82484,35278.71,686,286,50.542564,2.3986
20725,35187.31,1566,533,21.468768,2.9381
22114,32692.49,648,326,49.534076,1.9877
22178,32554.33,1038,404,30.367845,2.5693
85099F,32354.04,828,318,37.974225,2.6038
22910,31941.89,821,471,37.578694,1.7431
22469,31899.85,1204,574,25.746449,2.0976
22112,30765.43,859,384,34.606783,2.2370
23245,30474.85,874,473,33.160881,1.8478
22727,30423.62,1052,392,27.482945,2.6837
21931,30167.79,1185,335,24.849909,3.5373
POST,29963.84,1131,380,23.856561,2.9763
22470,29949.91,929,488,31.100633,1.9037
23199,29166.40,979,345,28.906244,2.8377
22355,29164.36,884,250,31.978465,3.5360
23355,28141.09,783,475,34.613887,1.6484
22411,28012.48,1176,376,23.304892,3.1277
22457,27995.36,1250,591,21.871375,2.1151
22699,27944.92,1067,428,24.556169,2.4930
85099C,27581.32,934,307,28.730542,3.0423
22726,27036.81,983,324,26.351667,3.0340
23201,26814.15,907,397,28.832419,2.2846
20685,26728.50,698,330,37.805516,2.1152
21915,26247.83,663,351,38.770798,1.8889
84347,26142.23,450,194,55.036274,2.3196
22666,25819.55,1118,474,21.880975,2.3586
22629,25647.77,901,323,27.757327,2.7895
84946,25516.67,906,418,26.973224,2.1675
22961,25235.23,1163,539,21.349602,2.1577
21181,25120.88,853,362,28.481723,2.3564
48138,24914.92,617,315,39.736715,1.9587
22722,24365.66,837,394,27.942271,2.1244
22326,24317.67,733,282,31.829411,2.5993
48187,23947.54,601,316,39.387401,1.9019
22138,23822.22,935,586,24.458131,1.5956
23173,23655.02,417,249,54.006895,1.6747
21731,23651.68,850,267,27.061419,3.1835
22189,23431.87,525,275,43.716175,1.9091
23344,23328.79,717,392,31.568051,1.8291
21175,23298.74,811,344,28.206707,2.3576
22111,23249.00,772,428,29.134085,1.8037
21621,23139.26,480,268,46.745980,1.7910
21733,23075.79,742,386,29.852251,1.9223
23243,22875.82,471,276,44.942672,1.7065
21623,22839.00,222,141,100.171053,1.5745
15056N,22831.52,541,185,41.436515,2.9243
21929,22794.07,866,309,25.756011,2.8026
20713,22599.53,669,208,33.040249,3.2163
22090,22594.56,800,326,27.825813,2.4540
82482,22531.71,1101,412,19.957228,2.6723
22139,22521.49,968,490,22.680252,1.9755
22697,22433.25,1016,391,20.675806,2.5985
22383,22318.64,1286,436,16.556855,2.9495
84997D,22279.26,547,250,40.070612,2.1880
20727,22219.01,1274,459,16.458526,2.7756
84029E,21866.55,433,229,48.377323,1.8908
20712,21665.96,864,249,24.676492,3.4699
20724,21606.48,1035,336,20.230787,3.0804
20728,21423.13,1151,482,17.897352,2.3880
23202,21410.35,881,378,23.895480,2.3307
23209,21384.37,1100,470,18.840855,2.3404
48194,21345.48,594,287,35.635192,2.0697
22630,21156.49,851,289,24.014177,2.9446
21212,21059.72,1321,637,15.205574,2.0738
82494L,20941.44,977,393,20.858008,2.4860
23206,20814.83,1037,402,19.201873,2.5796
21166,20796.54,725,288,27.877399,2.5174
21928,20670.02,807,265,25.115456,3.0453
21523,20633.99,503,204,40.778636,2.4657
22728,20548.40,784,293,25.368395,2.6758
22659,20272.70,708,215,27.030267,3.2930
21479,19958.52,501,255,38.455723,1.9647
84997B,18955.69,438,203,42.406465,2.1576
22969,18602.75,647,430,28.401145,1.5047
22467,18552.97,685,264,25.380260,2.5947
48185,18472.03,367,144,49.655995,2.5486
20726,18188.48,1019,374,17.142771,2.7246
20914,18089.35,881,361,19.305603,2.4404
15036,18064.16,520,195,34.473588,2.6667
22382,17850.01,1158,492,14.974841,2.3537
22693,17837.45,306,168,58.102443,1.8214
22865,17651.98,657,376,25.619710,1.7473
82486,17620.40,606,237,27.661538,2.5570
21485,17478.69,624,373,26.685023,1.6729
85066,17451.87,520,292,31.444811,1.7808
22328,17438.87,582,229,28.541522,2.5415
71477,17214.94,321,161,48.356573,1.9938
22384,17198.99,1091,446,15.126640,2.4462
22698,17164.26,768,322,20.679831,2.3851
22077,17149.27,956,414,17.392769,2.3092
82583,16913.60,618,207,25.980952,2.9855
22385,16866.72,689,248,24.026667,2.7782
84997C,16840.16,399,203,41.580642,1.9655
23240,16830.82,537,324,29.683986,1.6574
22492,16810.42,381,214,43.103641,1.7804
21754,16727.72,778,361,20.753995,2.1551
20719,16672.35,836,239,19.431643,3.4979
22993,16422.23,1074,432,14.781485,2.4861
21843,16392.39,541,263,28.021179,2.0570
84978,16270.94,729,305,21.213742,2.3902
23301,16188.15,914,406,17.276574,2.2512
22835,16143.56,658,318,23.775493,2.0692
84029G,16106.04,461,213,33.978987,2.1643
15056B,15954.47,384,143,41.119768,2.6853
85152,15848.11,680,271,23.035044,2.5092
21232,15820.55,832,315,17.500608,2.6413
22624,15642.18,716,377,21.109555,1.8992
22379,15514.34,749,189,20.413605,3.9630
23313,15290.16,402,255,36.843759,1.5765
22084,15002.02,446,279,32.827177,1.5986
22900,14423.33,534,195,25.573280,2.7385
22866,14201.52,554,331,24.070373,1.6737
22501,14041.48,456,188,29.623376,2.4255
22507,14028.06,460,231,30.232888,1.9913
21930,14024.92,706,221,19.479056,3.1946
48184,14018.18,412,228,33.697548,1.8070
22083,13994.34,611,296,22.607981,2.0642
22867,13967.39,557,334,24.248941,1.6677
23200,13953.65,597,263,22.912397,2.2700
82483,13892.76,547,244,23.039403,2.2418
23077,13645.77,345,218,39.211983,1.5826
84077,13587.93,536,308,25.069982,1.7403
22551,13567.46,674,340,19.465509,1.9824
23343,13473.27,482,287,26.892754,1.6794
23356,13377.27,477,317,26.647948,1.5047
22554,13296.92,705,353,18.239945,1.9972
22558,13279.46,773,365,16.766995,2.1178
23328,13254.85,406,196,31.710167,2.0714
22625,13131.45,554,294,22.718772,1.8844
21524,12931.98,481,252,26.445767,1.9087
23108,12923.67,373,272,32.884656,1.3713
22752,12888.48,381,189,33.132339,2.0159
82600,12761.98,548,222,22.953201,2.4685
22622,12733.23,268,175,46.813346,1.5314
22941,12718.26,312,216,38.192973,1.4444
23207,12700.60,741,378,16.282821,1.9603
22113,12694.13,562,340,21.334672,1.6529
22499,12595.03,408,218,30.570461,1.8716
20723,12489.69,723,233,16.832466,3.1030
20750,12487.94,386,236,31.938465,1.6356
22188,12483.22,190,124,65.357173,1.5323
20749,12457.26,384,240,31.617411,1.6000
21790,12443.71,927,450,13.181896,2.0600
21755,12376.29,630,338,18.866296,1.8639
22171,12294.17,386,174,30.281207,2.2184
22427,12267.56,511,312,23.190095,1.6378
21977,12189.47,870,412,13.604319,2.1117
22607,12153.18,359,225,33.205410,1.5956
47590B,12042.67,404,239,29.300900,1.6904
23174,12005.53,323,193,35.103889,1.6736
22502,11911.26,470,176,24.610041,2.6705
22158,11873.13,305,202,36.645463,1.5099
48188,11844.78,288,165,40.703711,1.7455
21430,11784.42,478,189,23.855101,2.5291
22087,11669.43,331,156,33.726676,2.1218
23300,11584.09,759,352,14.851397,2.1563
21936,11513.99,532,224,21.087894,2.3750
21108,11477.86,263,161,42.510593,1.6335
22568,11411.32,473,246,23.288408,1.9228
23581,11388.27,339,231,32.079634,1.4675
22193,11363.56,461,208,24.075339,2.2163
21080,11304.91,987,428,11.137842,2.3061
22730,11284.65,571,243,18.997727,2.3498
22041,11260.81,362,74,30.517100,4.8919
21481,11225.27,491,256,21.881618,1.9180
22356,11218.76,744,221,14.438559,3.3665
22149,11215.58,552,338,19.607657,1.6331
21216,11100.33,431,151,24.722339,2.8543
22662,11062.53,683,313,15.669306,2.1821
20971,11059.33,523,278,20.556375,1.8813
22413,11051.69,413,229,26.188839,1.8035
